date,temperature
2018/11/9,19.4
2018/11/10,18
2018/11/11,15.7
2018/11/12,16
2018/11/13,15.5
2018/11/14,13.4
2018/11/15,13.5
2018/11/16,14.2
2018/11/17,15.1
2018/11/18,15
2018/11/19,13.6
2018/11/20,12.5
2018/11/21,11.8
2018/11/22,12
2018/11/23,9.9
2018/11/24,9.5
2018/11/25,11.4
2018/11/26,12.7
2018/11/27,14.8
2018/11/28,14.5
2018/11/29,13.3
2018/11/30,12.3
2018/12/1,13.3
2018/12/2,12.9
2018/12/3,15.1
2018/12/4,19.1
2018/12/5,15.1
2018/12/6,12.8
2018/12/7,12.3
2018/12/8,7.8
2018/12/9,5.7
2018/12/10,5.9
2018/12/11,7.4
2018/12/12,9.4
2018/12/13,8
2018/12/14,6.8
2018/12/15,6.5
2018/12/16,6.4
2018/12/17,9.8
2018/12/18,9.1
2018/12/19,10.1
2018/12/20,10.9
2018/12/21,10.5
2018/12/22,11.5
2018/12/23,12
2018/12/24,8.9
2018/12/25,7.4
2018/12/26,8.6
2018/12/27,9.2
2018/12/28,4.1
2018/12/29,4.6
2018/12/30,4.8
2018/12/31,5
2019/1/1,5.7
2019/1/2,6.6
2019/1/3,5.2
2019/1/4,6.3
2019/1/5,8.8
2019/1/6,6.2
2019/1/7,6
2019/1/8,8.2
2019/1/9,5.4
2019/1/10,4.8
2019/1/11,8.2
2019/1/12,5.7
2019/1/13,7.2
2019/1/14,7
2019/1/15,6
2019/1/16,7.1
2019/1/17,7.3
2019/1/18,6.6
2019/1/19,7.3
2019/1/20,8
2019/1/21,7.4
2019/1/22,7.7
2019/1/23,7.9
2019/1/24,6.7
2019/1/25,7
2019/1/26,4
2019/1/27,5
2019/1/28,6
2019/1/29,5.4
2019/1/30,6.3
2019/1/31,5.7
2019/2/1,5.2
2019/2/2,6.9
2019/2/3,6.8
2019/2/4,10.5
2019/2/5,8.6
2019/2/6,8.9
2019/2/7,10
2019/2/8,6.6
2019/2/9,5
2019/2/10,4.2
2019/2/11,4.1
2019/2/12,6.7
2019/2/13,7.4
2019/2/14,4.9
2019/2/15,4.6
2019/2/16,7.7
2019/2/17,5.8
2019/2/18,7.1
2019/2/19,9
2019/2/20,12.5
2019/2/21,8.2
2019/2/22,9.2
2019/2/23,9.1
2019/2/24,8.7
2019/2/25,10.6
2019/2/26,9.9
2019/2/27,8.8
2019/2/28,10.2
2019/3/1,10.5
2019/3/2,9.8
2019/3/3,9.7
2019/3/4,9.5
2019/3/5,11.4
2019/3/6,11.4
2019/3/7,9.3
2019/3/8,7.9
2019/3/9,9.3
2019/3/10,10.9
2019/3/11,12.2
2019/3/12,11.1
2019/3/13,9.5
2019/3/14,7.5
2019/3/15,9
2019/3/16,7.8
2019/3/17,7.4
2019/3/18,8.8
2019/3/19,10.8
2019/3/20,13.3
2019/3/21,16.1
2019/3/22,12.3
2019/3/23,8
2019/3/24,8.5
2019/3/25,10.2
2019/3/26,12.8
2019/3/27,14.7
2019/3/28,13.5
2019/3/29,12.1
2019/3/30,12.9
2019/3/31,11
2019/4/1,8.1
2019/4/2,7.7
2019/4/3,8.5
2019/4/4,10.8
2019/4/5,14.2
2019/4/6,15.7
2019/4/7,16.4
2019/4/8,14.4
2019/4/9,12.3
2019/4/10,9.3
2019/4/11,11.4
2019/4/12,12
2019/4/13,12.7
2019/4/14,13.6
2019/4/15,14
2019/4/16,14.7
2019/4/17,15.9
2019/4/18,17.1
2019/4/19,16.8
2019/4/20,16.1
2019/4/21,19.7
2019/4/22,21.2
2019/4/23,19.5
2019/4/24,20.5
2019/4/25,20.5
2019/4/26,17.8
2019/4/27,12.2
2019/4/28,13.3
2019/4/29,14.4
2019/4/30,17.3
2019/5/1,16.7
2019/5/2,18.7
2019/5/3,20.1
2019/5/4,20.5
2019/5/5,19.8
2019/5/6,18.7
2019/5/7,14.8
2019/5/8,16
2019/5/9,18.1
2019/5/10,20.5
2019/5/11,22.8
2019/5/12,22.1
2019/5/13,21.8
2019/5/14,19.8
2019/5/15,21
2019/5/16,21.7
2019/5/17,21.9
2019/5/18,21.3
2019/5/19,22.2
2019/5/20,22
2019/5/21,20.8
2019/5/22,21
2019/5/23,22.5
2019/5/24,24.5
2019/5/25,25.7
2019/5/26,25.7
2019/5/27,25.5
2019/5/28,20.9
2019/5/29,20.3
2019/5/30,21.8
2019/5/31,21.6
2019/6/1,22.5
2019/6/2,21.7
2019/6/3,23.9
2019/6/4,24.2
2019/6/5,25
2019/6/6,26.2
2019/6/7,21.6
2019/6/8,21.9
2019/6/9,21.9
2019/6/10,21.3
2019/6/11,22.5
2019/6/12,22.5
2019/6/13,23.6
2019/6/14,23.3
2019/6/15,21.1
2019/6/16,21.1
2019/6/17,21.6
2019/6/18,22.6
2019/6/19,24.3
2019/6/20,26
2019/6/21,25.1
2019/6/22,24.8
2019/6/23,23.3
2019/6/24,23.8
2019/6/25,25
2019/6/26,25.5
2019/6/27,24.7
2019/6/28,26.5
2019/6/29,27.1
2019/6/30,26.6
2019/7/1,24.9
2019/7/2,24.5
2019/7/3,24.7
2019/7/4,25.5
2019/7/5,24.5
2019/7/6,24.5
2019/7/7,26.4
2019/7/8,25.8
2019/7/9,24.6
2019/7/10,26
2019/7/11,23.3
2019/7/12,25.2
2019/7/13,23.9
2019/7/14,23.1
2019/7/15,25.2
2019/7/16,26.6
2019/7/17,27.1
2019/7/18,26.3
2019/7/19,24.6
2019/7/20,26.8
2019/7/21,28.7
2019/7/22,27.2
2019/7/23,27
2019/7/24,28.8
2019/7/25,29.7
2019/7/26,29.1
2019/7/27,26.4
2019/7/28,28.9
2019/7/29,30.3
2019/7/30,30.5
2019/7/31,31.2
2019/8/1,31.7
2019/8/2,31.4
2019/8/3,30.5
2019/8/4,30.4
2019/8/5,30.9
2019/8/6,31
2019/8/7,30.4
2019/8/8,30.2
2019/8/9,30.2
2019/8/10,30.7
2019/8/11,30.8
2019/8/12,31.1
2019/8/13,31.2
2019/8/14,30.7
2019/8/15,29.2
2019/8/16,29.7
2019/8/17,30.2
2019/8/18,30.1
2019/8/19,28.2
2019/8/20,28.4
2019/8/21,30.2
2019/8/22,30
2019/8/23,26.8
2019/8/24,26
2019/8/25,25.8
2019/8/26,26.5
2019/8/27,25.4
2019/8/28,26.9
2019/8/29,28.5
2019/8/30,25.5
2019/8/31,24.4
2019/9/1,26
2019/9/2,28.3
2019/9/3,29.2
2019/9/4,27.8
2019/9/5,26.8
2019/9/6,29.2
2019/9/7,29.6
2019/9/8,30.5
2019/9/9,30.3
2019/9/10,30.9
2019/9/11,29.1
2019/9/12,26.4
2019/9/13,23.3
2019/9/14,27
2019/9/15,27.7
2019/9/16,27.3
2019/9/17,26.9
2019/9/18,25.4
2019/9/19,23.1
2019/9/20,21.2
2019/9/21,21.3
2019/9/22,24.6
2019/9/23,26.4
2019/9/24,23
2019/9/25,23.5
2019/9/26,25.1
2019/9/27,26
2019/9/28,26.2
2019/9/29,27.1
2019/9/30,27.7
2019/10/1,27.4
2019/10/2,26.1
2019/10/3,24.5
2019/10/4,25.1
2019/10/5,23.4
2019/10/6,22.3
2019/10/7,22.4
2019/10/8,22.3
2019/10/9,19.9
2019/10/10,22.6
2019/10/11,24.6
2019/10/12,21.5
2019/10/13,19.4
2019/10/14,19
2019/10/15,18.4
2019/10/16,16.9
2019/10/17,18.5
2019/10/18,20.3
2019/10/19,21.5
2019/10/20,20.7
2019/10/21,18.6
2019/10/22,20.1
2019/10/23,20.7
2019/10/24,18.8
2019/10/25,17.7
2019/10/26,19.3
2019/10/27,19
2019/10/28,18.6
2019/10/29,16.2
2019/10/30,17.5
2019/10/31,17.4
2019/11/1,17.6
2019/11/2,16.6
2019/11/3,16.6
2019/11/4,15.6
2019/11/5,14.6
2019/11/6,14.4
2019/11/7,15.5
2019/11/8,14.9
2019/11/9,14.4
2019/11/10,15
2019/11/11,16
2019/11/12,16.8
2019/11/13,16.5
2019/11/14,14.9
2019/11/15,11.2
2019/11/16,13
2019/11/17,14.6
2019/11/18,17.6
2019/11/19,14.1
2019/11/20,10.7
2019/11/21,10.9
2019/11/22,12.6
2019/11/23,16.9
2019/11/24,16.1
2019/11/25,15.6
2019/11/26,12.8
2019/11/27,13.6
2019/11/28,10.1
2019/11/29,8.4
2019/11/30,8.2
2019/12/1,10.4
2019/12/2,13.2
2019/12/3,9.9
2019/12/4,9.8
2019/12/5,9.3
2019/12/6,7.5
2019/12/7,7.5
2019/12/8,8.5
2019/12/9,8.7
2019/12/10,10.1
2019/12/11,10.3
2019/12/12,10.1
2019/12/13,8.2
2019/12/14,9.2
2019/12/15,8.9
2019/12/16,9.3
2019/12/17,12.1
2019/12/18,12.6
2019/12/19,9.1
2019/12/20,10.4
2019/12/21,8.9
2019/12/22,7
2019/12/23,9.3
2019/12/24,9.5
2019/12/25,9.7
2019/12/26,10
2019/12/27,9.2
2019/12/28,7.3
2019/12/29,8.4
2019/12/30,9.7
2019/12/31,9.5
2020/1/1,6.9
2020/1/2,8.2
2020/1/3,10.3
2020/1/4,9.6
2020/1/5,7
2020/1/6,7.2
2020/1/7,6.7
2020/1/8,11.9
2020/1/9,10.9
2020/1/10,9.1
2020/1/11,7.9
2020/1/12,8.4
2020/1/13,9.1
2020/1/14,7.4
2020/1/15,7.1
2020/1/16,6.5
2020/1/17,6.9
2020/1/18,8
2020/1/19,8
2020/1/20,9.8
2020/1/21,8
2020/1/22,7
2020/1/23,9.4
2020/1/24,11.1
2020/1/25,8
2020/1/26,8.8
2020/1/27,8.6
2020/1/28,13
2020/1/29,11.5
2020/1/30,9
2020/1/31,6.6
2020/2/1,6.9
2020/2/2,7.7
2020/2/3,8.3
2020/2/4,7.8
2020/2/5,6.9
2020/2/6,3.3
2020/2/7,3.4
2020/2/8,6.6
2020/2/9,4.1
2020/2/10,4.8
2020/2/11,7.3
2020/2/12,8.9
2020/2/13,13.5
2020/2/14,11.7
2020/2/15,10.3
2020/2/16,11.7
2020/2/17,8
2020/2/18,5.5
2020/2/19,7.6
2020/2/20,8.4
2020/2/21,9.5
2020/2/22,9.3
2020/2/23,9.1
2020/2/24,8.7
2020/2/25,9.7
2020/2/26,10.2
2020/2/27,6.5
2020/2/28,7.4
2020/2/29,7.6
2020/3/1,10.3
2020/3/2,11.7
2020/3/3,10.4
2020/3/4,8.8
2020/3/5,7.4
2020/3/6,8.2
2020/3/7,9.4
2020/3/8,10.4
2020/3/9,13
2020/3/10,14.5
2020/3/11,12.5
2020/3/12,10.7
2020/3/13,11.7
2020/3/14,8.9
2020/3/15,8.6
2020/3/16,6.4
2020/3/17,8.8
2020/3/18,13.6
2020/3/19,15.6
2020/3/20,12.8
2020/3/21,13.6
2020/3/22,14.9
2020/3/23,12.3
2020/3/24,10.1
2020/3/25,11
2020/3/26,14.3
2020/3/27,15.8
2020/3/28,12.5
2020/3/29,9.1
2020/3/30,10.3
2020/3/31,14.7
2020/4/1,14.1
2020/4/2,11.8
2020/4/3,12.2
2020/4/4,14.7
2020/4/5,10.5
2020/4/6,11.2
2020/4/7,12.8
2020/4/8,14.8
2020/4/9,13.2
2020/4/10,11.4
2020/4/11,11.2
2020/4/12,9.2
2020/4/13,10.3
2020/4/14,12.7
2020/4/15,14
2020/4/16,14.9
2020/4/17,15.7
2020/4/18,15.5
2020/4/19,15.3
2020/4/20,15.7
2020/4/21,16.1
2020/4/22,12.8
2020/4/23,11.7
2020/4/24,12
2020/4/25,14.4
2020/4/26,17.7
2020/4/27,16
2020/4/28,15.4
2020/4/29,16.3
2020/4/30,18.4
2020/5/1,20.2
2020/5/2,21.3
2020/5/3,19.5
2020/5/4,20.8
2020/5/5,23
2020/5/6,19.9
2020/5/7,17.5
2020/5/8,18.2
2020/5/9,18.7
2020/5/10,20.7
2020/5/11,22.3
2020/5/12,21.8
2020/5/13,20.7
2020/5/14,20.7
2020/5/15,20.2
2020/5/16,16.8
2020/5/17,20.9
2020/5/18,21.2
2020/5/19,20.7
2020/5/20,20.1
2020/5/21,18.6
2020/5/22,19.9
2020/5/23,22.8
2020/5/24,22.9
2020/5/25,23.4
2020/5/26,21.7
2020/5/27,21.2
2020/5/28,21.8
2020/5/29,22.9
2020/5/30,23
2020/5/31,20.4
2020/6/1,22.8
2020/6/2,24.6
2020/6/3,24.3
2020/6/4,24.8
2020/6/5,25.8
2020/6/6,25.1
2020/6/7,24.4
2020/6/8,24.3
2020/6/9,24.8
2020/6/10,25.6
2020/6/11,25.1
2020/6/12,25.1
2020/6/13,24.9
2020/6/14,25.8
2020/6/15,26.7
2020/6/16,25.6
2020/6/17,24.8
2020/6/18,20.9
2020/6/19,19.9
2020/6/20,22.7
2020/6/21,23.7
2020/6/22,25.2
2020/6/23,26.6
2020/6/24,26.2
2020/6/25,25.7
2020/6/26,27.8
2020/6/27,27
2020/6/28,24.9
2020/6/29,25.8
2020/6/30,25
2020/7/1,25.8
2020/7/2,24.4
2020/7/3,22
2020/7/4,24.1
2020/7/5,25.7
2020/7/6,25.8
2020/7/7,26.1
2020/7/8,24.6
2020/7/9,25.4
2020/7/10,26
2020/7/11,27.1
2020/7/12,25.5
2020/7/13,21.1
2020/7/14,24.1
2020/7/15,23.9
2020/7/16,25.5
2020/7/17,23.9
2020/7/18,25.9
2020/7/19,27.8
2020/7/20,29
2020/7/21,30
2020/7/22,28.8
2020/7/23,27.3
2020/7/24,26.3
2020/7/25,24.9
2020/7/26,24.8
2020/7/27,26.6
2020/7/28,28
2020/7/29,28.5
2020/7/30,27.8
2020/7/31,28.2
2020/8/1,28.9
2020/8/2,29.2
2020/8/3,29
2020/8/4,29.6
2020/8/5,29.8
2020/8/6,29.5
2020/8/7,29.8
2020/8/8,30.2
2020/8/9,30.9
2020/8/10,32
2020/8/11,31.5
2020/8/12,31.2
2020/8/13,31.1
2020/8/14,31.6
2020/8/15,32.3
2020/8/16,32.8
2020/8/17,32.4
2020/8/18,31.5
2020/8/19,31.1
2020/8/20,32
2020/8/21,31.8
2020/8/22,29.8
2020/8/23,30
2020/8/24,30.6
2020/8/25,30.6
2020/8/26,30.9
2020/8/27,28.7
2020/8/28,29.3
2020/8/29,30.4
2020/8/30,30.7
2020/8/31,31.1
2020/9/1,29.9
2020/9/2,29.5
2020/9/3,30.2
2020/9/4,28.4
2020/9/5,29.2
2020/9/6,27.7
2020/9/7,28.4
2020/9/8,29
2020/9/9,25.2
2020/9/10,25.3
2020/9/11,26.9
2020/9/12,29
2020/9/13,26.6
2020/9/14,24.1
2020/9/15,24.8
2020/9/16,25.7
2020/9/17,27.9
2020/9/18,27.6
2020/9/19,25
2020/9/20,23.5
2020/9/21,23.6
2020/9/22,22.9
2020/9/23,25.4
2020/9/24,25.1
2020/9/25,21.6
2020/9/26,23
2020/9/27,22.4
2020/9/28,21.7
2020/9/29,22.3
2020/9/30,22.3
2020/10/1,21.9
2020/10/2,22.6
2020/10/3,23.6
2020/10/4,24.1
2020/10/5,22.5
2020/10/6,19.5
2020/10/7,19.4
2020/10/8,16
2020/10/9,18.4
2020/10/10,20.7
2020/10/11,22.3
2020/10/12,22.7
2020/10/13,22.1
2020/10/14,20.8
2020/10/15,19.2
2020/10/16,18.8
2020/10/17,13.1
2020/10/18,15.2
2020/10/19,15.1
2020/10/20,17.2
2020/10/21,18.7
2020/10/22,19.6
2020/10/23,17.9
2020/10/24,16.5
2020/10/25,15.1
2020/10/26,16.1
2020/10/27,16.5
2020/10/28,16.9
2020/10/29,16.8
2020/10/30,14.6
2020/10/31,14.5
2020/11/1,16.8
2020/11/2,16.4
2020/11/3,15.3
2020/11/4,12.8
2020/11/5,13
2020/11/6,15.6
2020/11/7,16.7
2020/11/8,17.6
2020/11/9,13.7
2020/11/10,12.5
2020/11/11,11
2020/11/12,12.9
2020/11/13,14.8
2020/11/14,14.3
2020/11/15,15.3
2020/11/16,17
2020/11/17,17.1
2020/11/18,18.7
2020/11/19,20.5
2020/11/20,19.9
2020/11/21,14.3
2020/11/22,14.5
2020/11/23,14.4
2020/11/24,12.4
2020/11/25,12.1
2020/11/26,13.3
2020/11/27,14.8
2020/11/28,11.6
2020/11/29,10.6
2020/11/30,10.7
2020/12/1,10.7
2020/12/2,10.9
2020/12/3,11.2
2020/12/4,10.5
2020/12/5,10.1
2020/12/6,10.4
2020/12/7,11.3
2020/12/8,11.8
2020/12/9,10.2
2020/12/10,10.7
2020/12/11,12.3
2020/12/12,12.6
2020/12/13,11
2020/12/14,9.2
2020/12/15,5.6
2020/12/16,4.6
2020/12/17,4.7
2020/12/18,7.1
2020/12/19,6.5
2020/12/20,5.5
2020/12/21,6.3
2020/12/22,7.4
2020/12/23,8.2
2020/12/24,7.2
2020/12/25,8.3
2020/12/26,7.4
2020/12/27,7.6
2020/12/28,9
2020/12/29,8.9
2020/12/30,7.4
2020/12/31,3.7
2021/1/1,4.6
2021/1/2,5.6
2021/1/3,6.1
2021/1/4,6.1
2021/1/5,6.1
2021/1/6,6.8
2021/1/7,3.3
2021/1/8,0.2
2021/1/9,0.9
2021/1/10,2.5
2021/1/11,3.4
2021/1/12,3.2
2021/1/13,5.5
2021/1/14,7.5
2021/1/15,9.3
2021/1/16,8.6
2021/1/17,6.8
2021/1/18,4.6
2021/1/19,4.1
2021/1/20,4.7
2021/1/21,7.2
2021/1/22,8.5
2021/1/23,8.6
2021/1/24,8.3
2021/1/25,10.1
2021/1/26,12.1
2021/1/27,11.6
2021/1/28,8.6
2021/1/29,3.8
2021/1/30,4.8
2021/1/31,7.7
2021/2/1,7.9
2021/2/2,9.5
2021/2/3,5.7
2021/2/4,6.7
2021/2/5,7.3
2021/2/6,10.8
2021/2/7,9.6
2021/2/8,6.8
2021/2/9,4.7
2021/2/10,7.8
2021/2/11,9.8
2021/2/12,10.1
2021/2/13,13.7
2021/2/14,14.5
2021/2/15,13.1
2021/2/16,8.4
2021/2/17,3.9
2021/2/18,2.6
2021/2/19,5.1
2021/2/20,10
2021/2/21,13.6
2021/2/22,14.7
2021/2/23,10.5
2021/2/24,6.3
2021/2/25,7.5
2021/2/26,7.6
2021/2/27,6.7
2021/2/28,9.5
2021/3/1,14.3
2021/3/2,10.3
2021/3/3,6.8
2021/3/4,11
2021/3/5,12
2021/3/6,11.7
2021/3/7,8.5
2021/3/8,8.5
2021/3/9,9.2
2021/3/10,11.1
2021/3/11,10.2
2021/3/12,11.9
2021/3/13,11.5
2021/3/14,10.8
2021/3/15,11.8
2021/3/16,13.8
2021/3/17,12.1
2021/3/18,11.4
2021/3/19,13.3
2021/3/20,15.4
2021/3/21,14.4
2021/3/22,10.1
2021/3/23,10.3
2021/3/24,13.5
2021/3/25,14
2021/3/26,13.4
2021/3/27,14
2021/3/28,15.8
2021/3/29,16.6
2021/3/30,16.5
2021/3/31,15.3
2021/4/1,16.3
2021/4/2,18.8
2021/4/3,18
2021/4/4,17
2021/4/5,12.4
2021/4/6,11.5
2021/4/7,14.2
2021/4/8,14.9
2021/4/9,11.9
2021/4/10,11.1
2021/4/11,13.7
2021/4/12,16.7
2021/4/13,17.9
2021/4/14,14.7
2021/4/15,13.3
2021/4/16,16.2
2021/4/17,13.8
2021/4/18,12.2
2021/4/19,13.5
2021/4/20,17
2021/4/21,19.3
2021/4/22,19.4
2021/4/23,18.1
2021/4/24,18
2021/4/25,16.8
2021/4/26,13.5
2021/4/27,15.5
2021/4/28,16.8
2021/4/29,15.3
2021/4/30,18
2021/5/1,18.3
2021/5/2,14.1
2021/5/3,15.7
2021/5/4,18.5
2021/5/5,17.3
2021/5/6,19.2
2021/5/7,17.6
2021/5/8,18.7
2021/5/9,20.5
2021/5/10,19.1
2021/5/11,18.9
2021/5/12,17.7
2021/5/13,21.1
2021/5/14,22.9
2021/5/15,22.8
2021/5/16,21
2021/5/17,23
2021/5/18,22.2
2021/5/19,21.2
2021/5/20,20.3
2021/5/21,21.3
2021/5/22,19.4
2021/5/23,21.9
2021/5/24,20
2021/5/25,21.1
2021/5/26,20.5
2021/5/27,16.8
2021/5/28,20.6
2021/5/29,22.8
2021/5/30,21.8
2021/5/31,22.2
2021/6/1,23.2
2021/6/2,23.4
2021/6/3,22.9
2021/6/4,20.3
2021/6/5,20.7
2021/6/6,22.7
2021/6/7,25
2021/6/8,26
2021/6/9,25.9
2021/6/10,25.2
2021/6/11,24.3
2021/6/12,24.6
2021/6/13,23.6
2021/6/14,24.5
2021/6/15,25.3
2021/6/16,21.9
2021/6/17,24.5
2021/6/18,23.5
2021/6/19,21
2021/6/20,23.2
2021/6/21,24.5
2021/6/22,24.1
2021/6/23,24.8
2021/6/24,24.7
2021/6/25,25.5
2021/6/26,24.1
2021/6/27,23.7
2021/6/28,24.9
2021/6/29,24.6
2021/6/30,25.1
2021/7/1,23.1
2021/7/2,24.8
2021/7/3,27.1
2021/7/4,27.5
2021/7/5,28.3
2021/7/6,28.4
2021/7/7,25.4
2021/7/8,25.5
2021/7/9,26.7
2021/7/10,27.8
2021/7/11,28.3
2021/7/12,26.9
2021/7/13,27.3
2021/7/14,26.2
2021/7/15,25.9
2021/7/16,26.7
2021/7/17,28.6
2021/7/18,28.1
2021/7/19,29
2021/7/20,29
2021/7/21,29.5
2021/7/22,29.2
2021/7/23,29.1
2021/7/24,29.1
2021/7/25,29.2
2021/7/26,29.8
2021/7/27,30
2021/7/28,29.6
2021/7/29,29.6
2021/7/30,30.2
2021/7/31,30
2021/8/1,29.8
2021/8/2,30.1
2021/8/3,28
2021/8/4,30.1
2021/8/5,31.3
2021/8/6,30.1
2021/8/7,30.7
2021/8/8,31.1
2021/8/9,28
2021/8/10,28.2
2021/8/11,27.8
2021/8/12,25
2021/8/13,25
2021/8/14,26.3
2021/8/15,25
2021/8/16,25.4
2021/8/17,24.2
2021/8/18,26.1
2021/8/19,23.4
2021/8/20,24.6
2021/8/21,26.1
2021/8/22,27.9
2021/8/23,28.3
2021/8/24,28.5
2021/8/25,29.5
2021/8/26,29.7
2021/8/27,30
2021/8/28,30
2021/8/29,30.2
2021/8/30,30.4
2021/8/31,29.5
2021/9/1,28.3
2021/9/2,25.1
2021/9/3,22.9
2021/9/4,24.1
2021/9/5,25.9
2021/9/6,26
2021/9/7,25.2
2021/9/8,24.8
2021/9/9,25.1
2021/9/10,26.4
2021/9/11,26.1
2021/9/12,24.8
2021/9/13,25.1
2021/9/14,21.4
2021/9/15,23.7
2021/9/16,24.3
